budget,producer,origin_country,director,genre,movie_theater_revenue,movie_id,duration,user_ratings,main_actor,movie_views,story_author,year_launched,trailer_audience,movie_theater_price,box_office_revenue
42355873.33,DF99FC47AA,C21419A540,8BCFBC2237,6A4988C2E5,41829931.2,55E9AA240E,95.0,8.1,0AAE43DC04,199437.0,6E0CDF5B84,1989,544449.0,54.97,400678949.45
41022540.0,01583D6625,C21419A540,A2CC4C1140,DBC957EC29,56109095.2,B9905F4C17,112.0,7.8,A7B1997070,176481.0,A2CC4C1140,1989,668077.0,51.72,398762644.45
47022540.0,01583D6625,C21419A540,10E30A4348,425B0372BA,143840480.8,70DF377978,120.0,6.9,6323EE000D,157927.0,550BC8DEA4,1989,1689223.0,72.1,413145846.45
49355873.33,6E0F12B3D5,C21419A540,7612026E13,425B0372BA,68128198.4,8431E8A232,152.0,8.4,B2F592F0A4,360089.0,7612026E13,1989,932436.0,74.47,413179456.45
43022540.0,E2512DCEC0,C21419A540,4F1CB766D1,6A4988C2E5,14851690.4,864678FD4C,96.0,6.9,82C9557088,24412.0,426D08B6FA,1989,233564.0,51.53,396568692.45
41022540.0,505085235D,F4DEBD59DA,F8EEF32E66,2BD4FCE0C1,110824452.0,573EC94A25,132.0,8.1,45C05133B2,211711.0,F8EEF32E66,1989,1309071.0,61.11,408146636.45
53689206.67,D45D26E2D1,F4DEBD59DA,E196FAF4C5,6A4988C2E5,10183933.6,BA08833F9C,109.0,7.4,3759EFA1FC,68574.0,3EBBBF99E0,1989,295868.0,73.09,407466872.45
41022540.0,DFC0D497AC,C21419A540,291F1450B2,2BD4FCE0C1,6840982.4,0B6D0873AD,132.0,7.8,A985DD9D17,97833.0,291F1450B2,1989,89576.0,43.14,390180659.45
43022540.0,01583D6625,C21419A540,8F327F7604,DBC957EC29,32377330.4,F9F2D93A77,103.0,6.8,AF29916493,40365.0,A2CC4C1140,1989,373764.0,48.02,393063062.45
47022540.0,CF52F26B6C,C21419A540,C36428136C,2BD4FCE0C1,32365252.0,C9E3DB8544,103.0,7.5,1CE84BA066,86453.0,E9538AA238,1989,552339.0,69.89,410932632.45
42889206.67,07331B1E54,0F80362D95,6FB177BFE8,6A4988C2E5,139708000.0,966D4C019B,104.0,6.5,46257EEDFF,52965.0,BA9D32341F,1989,1577805.0,60.96,406136545.45
47689206.67,C9553139D6,F4DEBD59DA,DFF6E56CEE,425B0372BA,4720000.0,E2C45D623A,127.0,7.2,69F95AA5C2,69895.0,BB87B05DBD,1989,95015.0,52.47,392845531.45
41022540.0,6E0F12B3D5,C21419A540,D50990FCDC,DBC957EC29,6560000.0,1DFC37143B,108.0,6.8,98A0AB9809,8140.0,D50990FCDC,1989,254911.0,59.95,406995163.45
53689206.67,6E0F12B3D5,C21419A540,494B7A3724,425B0372BA,8880000.0,4BA349B99A,107.0,7.3,332283229B,67773.0,AD2AD3B5A7,1989,104967.0,55.31,389680707.45
47022540.0,DFC0D497AC,C21419A540,8CF5518F3E,1E452E1E2C,6896743.2,D9A4E4D8E4,132.0,7.2,C61BBA87BA,35988.0,E74C668FFE,1989,229066.0,63.03,404073863.45
48355873.33,C9103849A1,C21419A540,C2E568A26D,2BD4FCE0C1,5387875.2,9F570B0691,128.0,5.9,3FD431F7CA,21187.0,FADD8A3EA6,1989,256747.0,68.64,408350881.45
43689206.67,DFC0D497AC,C21419A540,6E0CDF5B84,425B0372BA,5946930.4,1DFC99AE8D,106.0,5.4,5144537070,16575.0,6E0CDF5B84,1989,218568.0,59.6,403973856.45
53689206.67,A0514E7E47,C21419A540,B80A2B5DF7,DBC957EC29,30997908.0,F80D45A8FC,101.0,6.9,9E5F357EB6,35539.0,A441474281,1989,410396.0,63.73,398105667.45
38822540.0,8015FEA076,C21419A540,A67938646F,425B0372BA,2800000.0,6386E4D430,100.0,5.9,45C05133B2,7745.0,A67938646F,1989,268776.0,62.9,412141603.45
60355873.33,701CC84488,C21419A540,6D0D5B8174,425B0372BA,13036619.2,7A6201AF13,120.0,4.6,51E4685B6D,24001.0,60721A924E,1989,155890.0,62.91,390616386.45
38355873.33,E338323C58,C21419A540,06F24C2A33,425B0372BA,10533785.6,6BD157F9C5,86.0,6.0,C6E6BF8563,16999.0,F031E06B6F,1989,316932.0,59.52,409223419.45
44355873.33,8E3BC1D267,C21419A540,89E6D557FE,DBC957EC29,73006400.0,19A2E3ED6B,103.0,6.6,B3309E3B45,15401.0,B3309E3B45,1989,989181.0,70.27,413975675.45
40155873.33,CAE8C317A8,C21419A540,2F50E07F40,DBC957EC29,6420697.6,FDC4E6DFBD,95.0,5.6,99937CCE53,14157.0,B9FF5308AC,1989,143406.0,48.08,395983878.45
47022540.0,43E56788E2,C21419A540,17E460B4BD,425B0372BA,34179213.6,D0ACF420AF,144.0,6.8,17E460B4BD,21957.0,A86FAEA439,1989,417871.0,54.63,395671860.45
53689206.67,01583D6625,C21419A540,0A334703D7,6A4988C2E5,87770505.6,3CD117DA2C,131.0,7.3,58350568F9,44232.0,9CEAE47960,1989,933249.0,59.24,393618402.45
37022540.0,872C81C477,C21419A540,E9F8D956C0,DBC957EC29,32558208.8,3FAC2C2F0E,106.0,6.6,E9E95636BF,31367.0,BDC182AA0A,1989,447675.0,49.23,400273312.45
37022540.0,A7F483AAB1,573431AA73,8F40A3A70C,1E452E1E2C,5722789.6,8F673F13D2,144.0,7.8,0D197DE14E,57982.0,CCB663F060,1989,114886.0,42.79,393829859.45
37022540.0,872C81C477,C21419A540,79F5EE530E,425B0372BA,19327897.6,C77D61CF36,128.0,5.3,450F96CA8D,7524.0,813F1CBB86,1989,272110.0,44.91,395947121.45
53689206.67,01583D6625,C21419A540,7A95E6B01C,425B0372BA,63854349.6,C31CA47456,101.0,5.9,0766F06DE3,28653.0,7A38727B2F,1989,655097.0,55.34,389719366.45
38289206.67,505085235D,C21419A540,51ABE7641C,1E452E1E2C,3680000.0,9CC2A1DDE8,107.0,7.1,42EB222234,8563.0,50F1EC3FD9,1989,45855.0,39.19,388969530.45
53689206.67,ED475C248D,C21419A540,510DB303DE,DBC957EC29,31397387.2,2D09A68953,113.0,6.4,E0AE0108F8,38259.0,E0AE0108F8,1989,481642.0,70.46,404830848.45
53689206.67,2C634864AA,C21419A540,C05319AE8F,425B0372BA,39233779.2,D1E79B4D91,92.0,5.7,A0789356AA,36555.0,8B8D61837A,1989,461913.0,60.65,395021527.45
37022540.0,5A11FA49F4,F4A0036E39,09AB80085F,2BD4FCE0C1,1603057.6,FC370DE50F,132.0,7.4,0B4C63F7EF,9696.0,65A585FE87,1989,125869.0,48.01,399047824.45
53355873.33,2C634864AA,F4DEBD59DA,2C0C12B930,6A4988C2E5,13774418.4,C23E1A6D4E,138.0,7.5,48CBD4ABBE,31653.0,E973189AA7,1989,359959.0,75.58,410285487.45
46222540.0,BD6DFB4925,C21419A540,EB3E2928DD,2BD4FCE0C1,41835185.6,4F2D8B041D,131.0,7.0,407F59AF7B,41651.0,046ACABEFF,1989,573378.0,61.73,403566674.45
37022540.0,DF99FC47AA,C21419A540,4A75F77DD6,425B0372BA,92083183.2,379CB0AA73,124.0,5.9,0D5B165899,38901.0,A2CFCFB6F7,1989,1113249.0,56.26,407305731.45
37022540.0,356A4325F0,C21419A540,EEF172DA0D,2BD4FCE0C1,5741944.8,07A32B3780,125.0,6.5,A5BA4DCA16,3070.0,EEF172DA0D,1989,110705.0,42.35,393392580.45
41022540.0,3CB4F4A4E9,C21419A540,065468E869,4D0ECF596C,4675894.4,6C5D4CC005,104.0,7.3,C0FB929834,24115.0,5D8C5648A1,1989,241542.0,60.5,407542324.45
43689206.67,806B87D377,C21419A540,950C240304,DBC957EC29,29999720.8,EB8010FC20,97.0,6.3,D5B54C1FE0,27507.0,F84676A747,1989,475002.0,61.19,405564469.45
39022540.0,01583D6625,C21419A540,DEFA53E6F2,BD554FF6E8,15577645.6,C01DB7FB28,91.0,5.9,C142F1821D,18861.0,DEFA53E6F2,1989,168092.0,40.25,389295614.45
53689206.67,5FE13D534B,C21419A540,3319CF89D0,6A4988C2E5,11442223.2,3C3844D9C3,128.0,6.6,5A73620E1D,15372.0,395A3067A6,1989,142341.0,56.48,390855869.45
37022540.0,701CC84488,C21419A540,2DF351E685,83CD1557CD,37986401.6,5FADCBF969,84.0,6.9,18E7D6CC5C,27324.0,03FBCDD18F,1989,602959.0,59.33,410373552.45
39689206.67,36D0013CD5,F4DEBD59DA,CD020F561C,E5ECF561FE,2261218.4,70FFF4C3E2,122.0,7.1,6EB273018C,16676.0,CD020F561C,1989,26891.0,40.12,388491930.45
43689206.67,DFC0D497AC,C21419A540,A385402EFF,425B0372BA,3768976.0,19F61F1114,114.0,3.8,1FEC4AA8F0,2922.0,10E5AC5EA7,1989,172246.0,57.14,401519626.45
40022540.0,B5104D0E5F,C21419A540,FEDED530B0,BD554FF6E8,1008800.0,C3B0E241DC,91.0,6.7,21DE1A4EDB,11079.0,9E42D2483C,1989,110596.0,50.07,398114808.45
49022540.0,872C81C477,C21419A540,66F2AC3AC2,DBC957EC29,33106272.8,2888F3C2B7,112.0,6.3,611C813EFB,19007.0,95C513C443,1989,479529.0,63.87,402910665.45
49689206.67,5841E54CBB,C21419A540,20BCC4D196,BD554FF6E8,32797332.0,90D52957CB,97.0,5.7,A41701B21F,13767.0,B21F9A7B1F,1989,456566.0,62.55,400923326.45
37755873.33,B5104D0E5F,C21419A540,7F1DA003FD,DBC957EC29,4360652.0,8EE596FFB8,86.0,4.3,63205FEB12,5034.0,441D1AE205,1989,290477.0,62.44,412751097.45
37022540.0,F8FDA8F0F6,C21419A540,555B3FF307,425B0372BA,30800580.8,3A916733D1,116.0,6.5,33AD6A1189,6217.0,49AD877486,1989,508890.0,57.11,408152474.45
